,No scr,No scr,No scr,No scr,No scr,No scr,gFOBT,gFOBT,gFOBT,gFOBT,gFOBT,gFOBT,FIT,FIT,FIT,FIT,FIT,FIT,Blood_test,Blood_test,Blood_test,Blood_test,Blood_test,Blood_test,sDNA,sDNA,sDNA,sDNA,sDNA,sDNA,CTC,CTC,CTC,CTC,CTC,CTC,CC,CC,CC,CC,CC,CC
,No pred,No pred,Pred False,Pred False,Pred True,Pred True,No pred,No pred,Pred False,Pred False,Pred True,Pred True,No pred,No pred,Pred False,Pred False,Pred True,Pred True,No pred,No pred,Pred False,Pred False,Pred True,Pred True,No pred,No pred,Pred False,Pred False,Pred True,Pred True,No pred,No pred,Pred False,Pred False,Pred True,Pred True,No pred,No pred,Pred False,Pred False,Pred True,Pred True
,No colonoscopy,Colonoscopy,No colonoscopy,Colonoscopy,No colonoscopy,Colonoscopy,No colonoscopy,Colonoscopy,No colonoscopy,Colonoscopy,No colonoscopy,Colonoscopy,No colonoscopy,Colonoscopy,No colonoscopy,Colonoscopy,No colonoscopy,Colonoscopy,No colonoscopy,Colonoscopy,No colonoscopy,Colonoscopy,No colonoscopy,Colonoscopy,No colonoscopy,Colonoscopy,No colonoscopy,Colonoscopy,No colonoscopy,Colonoscopy,No colonoscopy,Colonoscopy,No colonoscopy,Colonoscopy,No colonoscopy,Colonoscopy,No colonoscopy,Colonoscopy,No colonoscopy,Colonoscopy,No colonoscopy,Colonoscopy
U,0.6267522036691935,0.6323714805761456,4.450147717014403e-308,4.450147717014403e-308,4.450147717014403e-308,4.450147717014403e-308,4.450147717014403e-308,4.450147717014403e-308,0.5041681536382664,0.5497549713244815,0.5790240898077994,0.895488684520383,4.450147717014403e-308,4.450147717014403e-308,0.5233070326333785,0.4008128578790494,1.008137962236926,1.066252648654355,4.450147717014403e-308,4.450147717014403e-308,0.4028195502780466,0.37974368610428455,0.4182908059745951,0.846189590233633,4.450147717014403e-308,4.450147717014403e-308,0.3915635257225465,0.2970856159933677,0.8547797238512089,1.0536553345156656,4.450147717014403e-308,4.450147717014403e-308,0.45866146280947884,0.2283258727120705,0.9509447657648095,1.0672458327225043,4.450147717014403e-308,4.450147717014403e-308,0.3164631475671442,0.2781674932628655,0.868512964850804,1.0643887374481182
