,No scr,No scr,No scr,No scr,No scr,No scr,gFOBT,gFOBT,gFOBT,gFOBT,gFOBT,gFOBT,FIT,FIT,FIT,FIT,FIT,FIT,Blood_test,Blood_test,Blood_test,Blood_test,Blood_test,Blood_test,sDNA,sDNA,sDNA,sDNA,sDNA,sDNA,CTC,CTC,CTC,CTC,CTC,CTC,CC,CC,CC,CC,CC,CC
,No pred,No pred,Pred False,Pred False,Pred True,Pred True,No pred,No pred,Pred False,Pred False,Pred True,Pred True,No pred,No pred,Pred False,Pred False,Pred True,Pred True,No pred,No pred,Pred False,Pred False,Pred True,Pred True,No pred,No pred,Pred False,Pred False,Pred True,Pred True,No pred,No pred,Pred False,Pred False,Pred True,Pred True,No pred,No pred,Pred False,Pred False,Pred True,Pred True
,No colonoscopy,Colonoscopy,No colonoscopy,Colonoscopy,No colonoscopy,Colonoscopy,No colonoscopy,Colonoscopy,No colonoscopy,Colonoscopy,No colonoscopy,Colonoscopy,No colonoscopy,Colonoscopy,No colonoscopy,Colonoscopy,No colonoscopy,Colonoscopy,No colonoscopy,Colonoscopy,No colonoscopy,Colonoscopy,No colonoscopy,Colonoscopy,No colonoscopy,Colonoscopy,No colonoscopy,Colonoscopy,No colonoscopy,Colonoscopy,No colonoscopy,Colonoscopy,No colonoscopy,Colonoscopy,No colonoscopy,Colonoscopy,No colonoscopy,Colonoscopy,No colonoscopy,Colonoscopy,No colonoscopy,Colonoscopy
U,0.6267521835772469,0.6323714763352472,4.450147717014403e-308,4.450147717014403e-308,4.450147717014403e-308,4.450147717014403e-308,4.450147717014403e-308,4.450147717014403e-308,0.5254770610361393,0.42543535329927695,1.0682196489800655,1.0696841886079937,4.450147717014403e-308,4.450147717014403e-308,0.5690332322692812,0.268054487185986,1.069464925913056,1.0697150407482576,4.450147717014403e-308,4.450147717014403e-308,0.4636821484380349,0.24354493941421673,0.7142689683407397,1.0247320553392691,4.450147717014403e-308,4.450147717014403e-308,0.4490825332329448,0.20222682889374932,0.9677208980471312,1.0647389308313913,4.450147717014403e-308,4.450147717014403e-308,0.45866146280947884,0.22832588087093086,0.9509447669266835,1.0672458327225043,4.450147717014403e-308,4.450147717014403e-308,0.33922896553105697,0.22426902373864377,1.0669006953299698,1.069716122577248
