,No scr,No scr,No scr,No scr,No scr,No scr,gFOBT,gFOBT,gFOBT,gFOBT,gFOBT,gFOBT,FIT,FIT,FIT,FIT,FIT,FIT,Blood_test,Blood_test,Blood_test,Blood_test,Blood_test,Blood_test,sDNA,sDNA,sDNA,sDNA,sDNA,sDNA,CTC,CTC,CTC,CTC,CTC,CTC,CC,CC,CC,CC,CC,CC
,No pred,No pred,Pred False,Pred False,Pred True,Pred True,No pred,No pred,Pred False,Pred False,Pred True,Pred True,No pred,No pred,Pred False,Pred False,Pred True,Pred True,No pred,No pred,Pred False,Pred False,Pred True,Pred True,No pred,No pred,Pred False,Pred False,Pred True,Pred True,No pred,No pred,Pred False,Pred False,Pred True,Pred True,No pred,No pred,Pred False,Pred False,Pred True,Pred True
,No colonoscopy,Colonoscopy,No colonoscopy,Colonoscopy,No colonoscopy,Colonoscopy,No colonoscopy,Colonoscopy,No colonoscopy,Colonoscopy,No colonoscopy,Colonoscopy,No colonoscopy,Colonoscopy,No colonoscopy,Colonoscopy,No colonoscopy,Colonoscopy,No colonoscopy,Colonoscopy,No colonoscopy,Colonoscopy,No colonoscopy,Colonoscopy,No colonoscopy,Colonoscopy,No colonoscopy,Colonoscopy,No colonoscopy,Colonoscopy,No colonoscopy,Colonoscopy,No colonoscopy,Colonoscopy,No colonoscopy,Colonoscopy,No colonoscopy,Colonoscopy,No colonoscopy,Colonoscopy,No colonoscopy,Colonoscopy
U,0.6267521768799312,0.6323714805761456,4.450147717014403e-308,4.450147717014403e-308,4.450147717014403e-308,4.450147717014403e-308,4.450147717014403e-308,4.450147717014403e-308,0.5143067298045788,0.47919230068807017,1.06967586292917,1.0697194546247355,4.450147717014403e-308,4.450147717014403e-308,0.5404362560257518,0.3427777106366524,1.0697050360591354,1.0697200543868692,4.450147717014403e-308,4.450147717014403e-308,0.3991248647623572,0.39088064198272066,0.9606885880316716,1.0637409950555685,4.450147717014403e-308,4.450147717014403e-308,0.4239755105555686,0.23726405407949602,0.9284185167502225,1.0615655384336733,4.450147717014403e-308,4.450147717014403e-308,0.4237798605301083,0.3199700596727775,0.8830140521807336,1.0635065387169094,4.450147717014403e-308,4.450147717014403e-308,0.327306199522155,0.2507840394946449,1.0077456794993997,1.0691546584910447
